tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1515,1,1568666063,1,3,17,1294.0,1431.0,1455.0,1564.0,1354.4651,1286.5372028691045,1312.0110497223227,1375.0166,1340.1353415536685,1350.2330802124486,1395.3008,1370.0313194261355,1354.1172624174892,1406.4403,1410.2033670033657,1396.3078787257182
1693,1,1568665975,1,3,17,1515.0,1294.0,1431.0,1455.0,1422.2031,1407.7221375710797,1338.1425060875931,1428.8176,1370.708649653853,1376.6915160653539,1432.1686,1388.6187010797828,1391.0047582325992,1432.4489,1405.6386110262206,1410.6738586493568
1468,1,1568665522,1,3,17,1693.0,1515.0,1294.0,1431.0,1430.2384,1505.3275578394,1361.0105464251112,1449.9646,1508.6389728364427,1401.5425318353357,1426.4553,1458.445561389862,1403.9863388084145,1428.6448,1458.368000757026,1439.2828646810906
1271,1,1568665198,1,3,17,1468.0,1693.0,1515.0,1294.0,1398.8529,1381.948640511479,1330.9259692615626,1451.6207,1490.684271874011,1392.3580340058268,1461.6995,1495.7727804040212,1390.7989237536365,1446.8641,1457.664139497052,1412.6775939598424
1521,1,1568664778,1,3,17,1271.0,1468.0,1693.0,1515.0,1354.4651,1273.9233494958175,1319.715122985122,1375.0166,1344.7290589646825,1349.43374019835,1395.3008,1429.6422537304982,1367.2895859820524,1406.4403,1445.456256334071,1410.0781846447082
1022,1,1568663231,1,3,16,1521.0,1271.0,1468.0,1693.0,1366.7847,1402.7162029622323,1283.8290221598334,1378.2955,1358.2312228417684,1330.0511770624662,1378.3461,1386.722908326665,1350.7899031178117,1388.2198,1448.179307095354,1363.1722454639569
1500,1,1568662893,1,3,16,1022.0,1521.0,1271.0,1468.0,1202.599,1129.0897248753204,1285.4604673025308,1259.463,1268.9085534166059,1352.6008317095557,1292.8053,1270.3449252119942,1357.891524322746,1317.0088,1310.947219424122,1387.4099609800874
1546,1,1568662169,1,3,16,1500.0,1022.0,1521.0,1271.0,1366.7847,1391.1993651586895,1283.0245029790315,1247.9857,1265.725517089283,1248.9045724450089,1275.4205,1331.5352270602318,1277.5762278944094,1299.394,1322.6024300049094,1284.3172946298857
1163,1,1568661468,1,3,16,1546.0,1500.0,1022.0,1521.0,1366.7847,1416.4224046170489,1283.3087524174941,1413.7836,1445.2961945209634,1357.9439108563704,1312.0844,1344.7443145212821,1349.9004892606654,1312.2576,1385.7539034935658,1368.2985337564076
1283,1,1568660676,1,3,16,1163.0,1546.0,1500.0,1022.0,1280.4227,1206.4037266543064,1333.0952715864323,1345.4401,1326.8510960637693,1388.9957078282957,1362.7155,1368.2367470785155,1371.4113561436973,1292.801,1300.8514629968822,1310.9778513807962
1485,1,1568659856,1,3,15,1283.0,1163.0,1546.0,1500.0,1300.9128,1263.912287885927,1258.0117576466346,1282.3356,1231.2073739968275,1256.972551364752,1285.5048,1308.7276373758175,1274.159172335951,1282.3116,1345.3389463619633,1286.446016963421
1149,1,1568659247,1,3,15,1485.0,1283.0,1163.0,1546.0,1314.789,1374.6778540984187,1284.1278593583809,1344.9897,1343.0074685868397,1297.2144585051628,1279.7628,1301.3221357778423,1305.1575504626414,1303.4435,1353.1010068152164,1329.6508322023815
1249,1,1568658605,1,3,15,1149.0,1485.0,1283.0,1163.0,1273.1073,1190.4317785484695,1295.2325500992085,1290.7808,1294.3734064872485,1323.2105787629682,1302.4253,1291.3012216345599,1318.0067985692917,1251.1744,1267.5761416608416,1298.0679050835881
1072,1,1568657990,1,3,15,1249.0,1149.0,1485.0,1283.0,1300.9128,1245.2657699229294,1270.8792852460638,1256.5455,1214.5070182946527,1259.3998734631164,1265.7896,1281.758061238351,1268.0803947966433,1268.2059,1282.4115769413752,1276.242394581183
1310,1,1568657487,1,3,15,1072.0,1249.0,1149.0,1485.0,1200.5994,1148.207334256917,1267.7109825552918,1240.8883,1186.694920802716,1273.5154359590322,1223.7041,1180.176691286166,1264.0855862926705,1240.7286,1243.0129557649989,1276.869477384979
955,1,1568656656,1,3,14,1310.0,1072.0,1249.0,1149.0,1254.3207,1270.4210250936121,1233.6892678540341,1211.3904,1202.8330909694334,1236.9943252592454,1226.2748,1216.1732604553538,1230.0765537854859,1210.478,1205.6098721241801,1221.9131801626509
1151,1,1568656283,1,3,14,955.0,1310.0,1072.0,1249.0,1178.7524,1075.7567082806204,1195.400887472843,1217.6975,1159.8536553255278,1234.7221286973756,1177.6361,1139.6618217440835,1204.7924473828382,1203.5273,1163.5127461226907,1230.4547143749835
1253,1,1568655632,1,3,14,1151.0,955.0,1310.0,1072.0,1238.805,1183.232122430687,1273.8008826355365,1176.2576,1107.1211936115667,1192.4881633476582,1213.7598,1159.3254951709985,1215.0461418526324,1185.6625,1144.3142511761139,1200.6642990158832
